Unnamed: 0,Zona,Ciudad,Precios,Direcciones,Dimensiones
0,1,1,"3,200,000","Centro SCT Baja California Sur, La Paz",- 225 m² tot. - 3 rec. - 2 baños - 2 estac.
1,1,1,"765,000","Ciudad Obregón Centro, Cajeme",- 114 m² tot. - 4 rec. - 2 baños - 2 estac.
2,1,1,"8,350,000","Morelos, Hermosillo",- 331 m² tot. - 4 rec. - 5 baños - 2 estac.
3,1,1,"3,600,000","Del Valle, Cajeme",- 322 m² tot. - 4 baños
4,1,1,"40,000,000","Fraccionamiento Los Lagos, Hermosillo",- 640 m² tot. - 4 rec. - 6 baños - 9 estac.
5,1,1,"4,800,000","Zona Norte, Cajeme",- 270 m² tot. - 3 rec. - 2 baños
6,1,1,"5,400,000","Fraccionamiento Rivello Residencial, Hermosillo",- 185 m² tot. - 3 rec. - 2 baños - 2 estac.
7,1,1,"6,400,000","San Carlos (Nuevo Guaymas), Guaymas",- 1 m² tot. - 2 rec. - 2 baños
8,1,1,"19,500,000","Héroes de Padierna, La Magdalena Contreras",- 1260 m² tot. - 4 rec. - 3 baños - 4 estac.
9,1,1,"3,900,000","Fraccionamiento Puente Real, Cajeme",- 200 m² tot. - 3 rec. - 2 baños
10,1,1,"3,990,000","Fraccionamiento Puente Real, Cajeme",- 149 m² tot. - 3 rec. - 2 baños - 4 estac.
11,1,1,"13,800,000","Miramar, Guaymas",- 869 m² tot. - 3 rec. - 3 baños - 3 estac.
12,1,1,"868,900","Caborca Centro, Caborca",- 230 m² tot. - 4 rec. - 3 baños - 2 estac.
13,1,1,"858,900","Caborca Centro, Caborca",- 320 m² tot. - 4 rec. - 3 baños - 2 estac.
14,1,1,"490,000","Montecarlo, Hermosillo",- 210 m² tot. - 4 rec. - 2 baños - 2 estac.
15,1,1,"18,000,000","Cuartel Pitic, Hermosillo",- 860 m² tot. - 4 rec. - 5 baños - 3 estac.
16,1,1,"5,800,000","San Andrés Cholula, Puebla",- 181 m² tot. - 3 rec. - 4 baños - 2 estac.
17,1,1,"5,400,000","San Carlos (Nuevo Guaymas), Guaymas",- 447 m² tot. - 3 rec. - 2 baños - 2 estac.
18,1,1,"9,875,000","San Andrés Cholula, Puebla",- 320 m² tot. - 4 rec. - 4 baños - 2 estac.
19,1,1,"4,750,000","Centenario, Hermosillo",- 480 m² tot. - 3 rec. - 3 baños - 3 estac.
20,1,1,"7,600,000","Pitic, Hermosillo",- 800 m² tot. - 4 rec. - 2 baños - 4 estac.
21,1,1,"4,280,000","Las Provincias, Hermosillo",- 140 m² tot. - 3 rec. - 2 baños - 2 estac.
22,1,1,"4,650,000","Fraccionamiento La Coruña Residencial, Hermosillo",- 200 m² tot. - 3 rec. - 2 baños - 2 estac.
23,1,1,"633,000","Marsella Residencial, Hermosillo",- 142 m² tot. - 3 rec. - 2 baños - 2 estac.
24,1,1,"4,650,000","San Pedro, Cajeme",- 280 m² tot. - 3 rec. - 2 baños
25,1,1,"11,000,000","Los Santos Residencial, Hermosillo",- 505 m² tot. - 4 rec. - 5 baños - 2 estac.
26,1,1,"7,500,000","Ventura Residencial, Hermosillo",- 242 m² tot. - 3 rec. - 2 baños - 2 estac.
27,1,1,"4,640,000","Privada Victoria, Hermosillo",- 240 m² tot. - 2 rec. - 2 baños - 2 estac.
28,1,1,"6,950,000","Fraccionamiento La Encantada, Hermosillo",- 357 m² tot. - 3 rec. - 3 baños - 2 estac.
29,1,1,"5,500,000","Zona Norte, Cajeme",- 245 m² tot. - 3 rec. - 3 baños - 2 estac.
30,1,1,"2,990,000","Residencial Banus, Hermosillo",- 166 m² tot. - 3 rec. - 2 baños - 2 estac.
31,1,1,"2,880,000","Huatabampo Centro, Huatabampo",- 177 m² tot. - 2 rec. - 2 baños - 2 estac.
32,1,1,"17,500,000","Residencial Santa Lucia, Hermosillo",- 388 m² tot. - 3 rec. - 3 baños - 5 estac.
33,1,1,"6,500,000","San Pedro El Saucito, Hermosillo",- 510 m² tot. - 3 rec. - 3 baños - 2 estac.
34,1,1,"18,000,000","Zona Norte, Cajeme",- 698 m² tot. - 4 rec. - 6 baños - 4 estac.
35,1,1,"20,000,000","San Carlos (Nuevo Guaymas), Guaymas",- 553 m² tot. - 4 rec. - 3 baños - 8 estac.
36,1,1,"17,000,000","San Carlos (Nuevo Guaymas), Guaymas",- 370 m² tot. - 3 rec. - 2 baños - 6 estac.
37,1,1,"11,200,000","San Carlos (Nuevo Guaymas), Guaymas",- 408 m² tot. - 4 rec. - 5 baños - 3 estac.
38,1,1,"6,190,000","San Carlos (Nuevo Guaymas), Guaymas",- 378 m² tot. - 3 rec. - 3 baños - 2 estac.
39,1,1,"3,690,000","Las Lomas Real Del Parque, Hermosillo",- 152 m² tot. - 3 rec. - 2 baños - 2 estac.
40,1,1,"4,800,000","Zona Norte, Cajeme",- 350 m² tot. - 3 rec. - 3 baños - 2 estac.
41,1,1,"26,500,000","San Carlos (Nuevo Guaymas), Guaymas",- 597 m² tot. - 5 rec. - 4 baños - 5 estac.
42,1,1,"2,190,000","Fraccionamiento Puente Real, Cajeme",- 160 m² tot. - 3 rec. - 2 baños - 1 estac.
43,1,1,"5,200,000","San Carlos (Nuevo Guaymas), Guaymas",- 306 m² tot. - 3 rec. - 2 baños - 2 estac.
